time	V(v+)	V(v-)	V(vdd)	V(vout)	V(vref)
Step Information: Run=0  (Step: 1/16)
3.837046487813636e-02	2.474525e+00	2.852238e-01	3.300000e+00	3.298071e+00	1.650546e+00
4.130015237813636e-02	2.473933e+00	3.059650e-01	3.300000e+00	3.298070e+00	1.650227e+00
4.422983987813636e-02	2.474525e+00	3.265634e-01	3.300000e+00	3.298072e+00	1.650546e+00
4.715952737813636e-02	2.473933e+00	3.470201e-01	3.300000e+00	3.298070e+00	1.650227e+00
5.008921487813636e-02	2.474525e+00	3.673359e-01	3.300000e+00	3.298072e+00	1.650546e+00
5.301890237813636e-02	2.473933e+00	3.875119e-01	3.300000e+00	3.298071e+00	1.650227e+00
5.594858987813636e-02	2.474525e+00	4.075489e-01	3.300000e+00	3.298072e+00	1.650546e+00
5.887827737813636e-02	2.473933e+00	4.274481e-01	3.300000e+00	3.298071e+00	1.650227e+00
6.180796487813636e-02	2.474525e+00	4.472102e-01	3.300000e+00	3.298072e+00	1.650546e+00
6.473765237813636e-02	2.473933e+00	4.668363e-01	3.300000e+00	3.298071e+00	1.650227e+00
6.766733987813636e-02	2.474525e+00	4.863273e-01	3.300000e+00	3.298072e+00	1.650546e+00
7.059702737813636e-02	2.473933e+00	5.056841e-01	3.300000e+00	3.298071e+00	1.650227e+00
7.352671487813636e-02	2.474525e+00	5.249076e-01	3.300000e+00	3.298072e+00	1.650546e+00
7.645640237813636e-02	2.473933e+00	5.439988e-01	3.300000e+00	3.298071e+00	1.650227e+00
7.938608987813636e-02	2.474525e+00	5.629586e-01	3.300000e+00	3.298073e+00	1.650546e+00
8.231577737813636e-02	2.473933e+00	5.817878e-01	3.300000e+00	3.298072e+00	1.650227e+00
8.524546487813636e-02	2.474525e+00	6.004875e-01	3.300000e+00	3.298073e+00	1.650546e+00
8.817515237813636e-02	2.473933e+00	6.190583e-01	3.300000e+00	3.298072e+00	1.650227e+00
9.110483987813636e-02	2.474525e+00	6.375014e-01	3.300000e+00	3.298073e+00	1.650546e+00
9.403452737813636e-02	2.473933e+00	6.558174e-01	3.300000e+00	3.298072e+00	1.650227e+00
9.696421487813636e-02	2.474525e+00	6.740074e-01	3.300000e+00	3.298073e+00	1.650546e+00
9.989390237813636e-02	2.473934e+00	6.920722e-01	3.300000e+00	3.298072e+00	1.650227e+00
1.028235898781364e-01	2.474525e+00	7.100126e-01	3.300000e+00	3.298073e+00	1.650546e+00
1.057532773781364e-01	2.473934e+00	7.278295e-01	3.300000e+00	3.298072e+00	1.650227e+00
1.086829648781364e-01	2.474525e+00	7.455238e-01	3.300000e+00	3.298074e+00	1.650546e+00
1.116126523781364e-01	2.473934e+00	7.630962e-01	3.300000e+00	3.298072e+00	1.650227e+00
1.145423398781364e-01	2.474526e+00	7.805476e-01	3.300000e+00	3.298074e+00	1.650546e+00
1.174720273781364e-01	2.473934e+00	7.978789e-01	3.300000e+00	3.298072e+00	1.650227e+00
1.204017148781364e-01	2.474526e+00	8.150909e-01	3.300000e+00	3.298074e+00	1.650546e+00
1.233314023781364e-01	2.473934e+00	8.321844e-01	3.300000e+00	3.298073e+00	1.650227e+00
1.262610898781364e-01	2.474526e+00	8.491603e-01	3.300000e+00	3.298074e+00	1.650546e+00
1.291907773781364e-01	2.473934e+00	8.660192e-01	3.300000e+00	3.298073e+00	1.650227e+00
1.321204648781364e-01	2.474526e+00	8.827621e-01	3.300000e+00	3.298074e+00	1.650546e+00
1.350501523781364e-01	2.473934e+00	8.993898e-01	3.300000e+00	3.298073e+00	1.650227e+00
1.379798398781364e-01	2.474526e+00	9.159030e-01	3.300000e+00	3.298074e+00	1.650546e+00
1.409095273781364e-01	2.473934e+00	9.323025e-01	3.300000e+00	3.298073e+00	1.650227e+00
1.438392148781364e-01	2.474526e+00	9.485890e-01	3.300000e+00	3.298074e+00	1.650546e+00
1.467689023781364e-01	2.473934e+00	9.647635e-01	3.300000e+00	3.298073e+00	1.650227e+00
1.496985898781364e-01	2.474526e+00	9.808267e-01	3.300000e+00	3.298074e+00	1.650546e+00
1.526282773781364e-01	2.473935e+00	9.967792e-01	3.300000e+00	3.298073e+00	1.650227e+00
1.555579648781364e-01	2.474526e+00	1.012622e+00	3.300000e+00	3.298074e+00	1.650546e+00
1.584876523781364e-01	2.473935e+00	1.028356e+00	3.300000e+00	3.298074e+00	1.650227e+00
1.614173398781364e-01	2.474526e+00	1.043981e+00	3.300000e+00	3.298075e+00	1.650546e+00
1.643470273781364e-01	2.473935e+00	1.059499e+00	3.300000e+00	3.298074e+00	1.650227e+00
1.672767148781364e-01	2.474526e+00	1.074910e+00	3.300000e+00	3.298075e+00	1.650546e+00
1.702064023781364e-01	2.473935e+00	1.090214e+00	3.300000e+00	3.298074e+00	1.650227e+00
1.731360898781364e-01	2.474526e+00	1.105414e+00	3.300000e+00	3.298075e+00	1.650546e+00
1.760657773781364e-01	2.473935e+00	1.120509e+00	3.300000e+00	3.298074e+00	1.650227e+00
1.789954648781364e-01	2.474526e+00	1.135500e+00	3.300000e+00	3.298075e+00	1.650546e+00
1.819251523781364e-01	2.473935e+00	1.150388e+00	3.300000e+00	3.298074e+00	1.650227e+00
1.848548398781364e-01	2.474526e+00	1.165173e+00	3.300000e+00	3.298075e+00	1.650546e+00
1.877845273781364e-01	2.473935e+00	1.179856e+00	3.300000e+00	3.298074e+00	1.650227e+00
1.907142148781364e-01	2.474526e+00	1.194439e+00	3.300000e+00	3.298075e+00	1.650545e+00
1.936439023781364e-01	2.473935e+00	1.208921e+00	3.300000e+00	3.298074e+00	1.650227e+00
1.965735898781364e-01	2.474526e+00	1.223303e+00	3.300000e+00	3.298075e+00	1.650545e+00
1.995032773781364e-01	2.473935e+00	1.237586e+00	3.300000e+00	3.298074e+00	1.650228e+00
2.024329648781364e-01	2.474526e+00	1.251771e+00	3.300000e+00	3.298076e+00	1.650545e+00
2.053626523781364e-01	2.473935e+00	1.265858e+00	3.300000e+00	3.298074e+00	1.650228e+00
2.082923398781364e-01	2.474526e+00	1.279849e+00	3.300000e+00	3.298076e+00	1.650545e+00
2.112220273781364e-01	2.473936e+00	1.293743e+00	3.300000e+00	3.298075e+00	1.650228e+00
2.141517148781364e-01	2.474526e+00	1.307541e+00	3.300000e+00	3.298076e+00	1.650545e+00
