run	t_period
1.530000000000000e+02	9.787167e-01
1.540000000000000e+02	9.665486e-01
1.550000000000000e+02	9.641484e-01
1.560000000000000e+02	1.005428e+00
1.570000000000000e+02	9.627855e-01
1.580000000000000e+02	1.017991e+00
1.590000000000000e+02	1.028077e+00
1.600000000000000e+02	9.838102e-01
1.610000000000000e+02	1.021010e+00
1.620000000000000e+02	9.612970e-01
1.630000000000000e+02	1.022352e+00
1.640000000000000e+02	9.705701e-01
1.650000000000000e+02	9.803641e-01
1.660000000000000e+02	1.029716e+00
1.670000000000000e+02	1.031628e+00
1.680000000000000e+02	1.015632e+00
1.690000000000000e+02	1.001432e+00
1.700000000000000e+02	9.482084e-01
1.710000000000000e+02	9.436657e-01
1.720000000000000e+02	9.965190e-01
1.730000000000000e+02	1.009232e+00
1.740000000000000e+02	9.802001e-01
1.750000000000000e+02	9.865387e-01
1.760000000000000e+02	1.002450e+00
1.770000000000000e+02	1.017828e+00
1.780000000000000e+02	9.668472e-01
1.790000000000000e+02	9.865701e-01
1.800000000000000e+02	9.822490e-01
1.810000000000000e+02	1.046836e+00
1.820000000000000e+02	9.461129e-01
1.830000000000000e+02	9.824290e-01
1.840000000000000e+02	9.489117e-01
1.850000000000000e+02	9.793099e-01
1.860000000000000e+02	9.581128e-01
1.870000000000000e+02	1.047785e+00
1.880000000000000e+02	1.037223e+00
1.890000000000000e+02	1.003117e+00
1.900000000000000e+02	9.887065e-01
1.910000000000000e+02	9.582773e-01
1.920000000000000e+02	1.011335e+00
1.930000000000000e+02	9.723772e-01
1.940000000000000e+02	9.812956e-01
1.950000000000000e+02	1.030985e+00
1.960000000000000e+02	9.975406e-01
1.970000000000000e+02	9.620596e-01
1.980000000000000e+02	1.016906e+00
1.990000000000000e+02	9.817478e-01
2.000000000000000e+02	9.891063e-01
2.010000000000000e+02	9.684125e-01
2.020000000000000e+02	1.036731e+00
2.030000000000000e+02	1.038434e+00
2.040000000000000e+02	1.023148e+00
2.050000000000000e+02	1.005891e+00
2.060000000000000e+02	9.757425e-01
2.070000000000000e+02	1.039913e+00
2.080000000000000e+02	9.995548e-01
