time	V(vout)
Step Information: Run=0  (Step: 1/9)
1.006210697395560e-01	3.298401e+00
1.035507572395560e-01	3.298409e+00
1.064804447395560e-01	3.298417e+00
1.094101322395560e-01	3.298425e+00
1.123398197395560e-01	3.298433e+00
1.152695072395560e-01	3.298441e+00
1.181991947395560e-01	3.298449e+00
1.211288822395560e-01	3.298457e+00
1.240585697395560e-01	3.298464e+00
1.269882572395560e-01	3.298472e+00
1.299179447395560e-01	3.298480e+00
1.328476322395560e-01	3.298487e+00
1.357773197395560e-01	3.298495e+00
1.387070072395560e-01	3.298502e+00
1.416366947395560e-01	3.298509e+00
1.445663822395560e-01	3.298517e+00
1.474960697395560e-01	3.298524e+00
1.504257572395560e-01	3.298531e+00
1.533554447395560e-01	3.298538e+00
1.562851322395560e-01	3.298545e+00
1.592148197395560e-01	3.298552e+00
1.621445072395560e-01	3.298559e+00
1.650741947395560e-01	3.298566e+00
1.680038822395560e-01	3.298573e+00
1.709335697395560e-01	3.298580e+00
1.738632572395560e-01	3.298587e+00
1.767929447395560e-01	3.298594e+00
1.797226322395560e-01	3.298600e+00
1.826523197395560e-01	3.298607e+00
1.855820072395560e-01	3.298614e+00
1.885116947395560e-01	3.298620e+00
1.914413822395560e-01	3.298627e+00
1.943710697395560e-01	3.298633e+00
1.973007572395560e-01	3.298640e+00
2.002304447395560e-01	3.298646e+00
2.031601322395560e-01	3.298652e+00
2.060898197395560e-01	3.298659e+00
2.090195072395560e-01	3.298665e+00
2.119491947395560e-01	3.298671e+00
2.148788822395560e-01	3.298677e+00
2.178085697395560e-01	3.298683e+00
2.207382572395560e-01	3.298689e+00
2.236679447395560e-01	3.298695e+00
2.265976322395560e-01	3.298701e+00
2.295273197395560e-01	3.298707e+00
2.324570072395560e-01	3.298713e+00
2.353866947395560e-01	3.298719e+00
2.383163822395560e-01	3.298725e+00
2.412460697395560e-01	3.298731e+00
2.441757572395560e-01	3.298736e+00
2.471054447395560e-01	3.298742e+00
2.500351322395560e-01	3.298748e+00
2.529648197395560e-01	3.298753e+00
2.558945072395560e-01	3.298759e+00
2.588241947395560e-01	3.298764e+00
2.617538822395560e-01	3.298770e+00
2.646835697395560e-01	3.298775e+00
2.676132572395560e-01	3.298780e+00
2.705429447395560e-01	3.298786e+00
2.734726322395560e-01	3.298791e+00
2.764023197395560e-01	3.298796e+00
2.793320072395560e-01	3.298802e+00
2.822616947395560e-01	3.298807e+00
2.851913822395560e-01	3.298812e+00
2.881210697395560e-01	3.298817e+00
2.910507572395560e-01	3.298822e+00
2.939804447395560e-01	3.298827e+00
2.969101322395560e-01	3.298832e+00
2.998398197395560e-01	3.298837e+00
3.027695072395560e-01	3.298842e+00
3.056991947395560e-01	3.298847e+00
3.086288822395560e-01	3.298852e+00
3.115585697395560e-01	3.298857e+00
3.144882572395560e-01	3.298862e+00
3.174179447395560e-01	3.298867e+00
3.203476322395560e-01	3.298871e+00
3.232773197395560e-01	3.298876e+00
3.262070072395560e-01	3.298881e+00
3.291366947395560e-01	3.298885e+00
3.320663822395560e-01	3.298890e+00
3.349960697395560e-01	3.298894e+00
3.379257572395560e-01	3.298899e+00
3.408554447395560e-01	3.298903e+00
3.437851322395560e-01	3.298908e+00
3.467148197395560e-01	3.298913e+00
3.496445072395560e-01	3.298917e+00
3.525741947395560e-01	3.298921e+00
3.555038822395560e-01	3.298926e+00
3.584335697395560e-01	3.298930e+00
3.613632572395560e-01	3.298934e+00
3.642929447395560e-01	3.298939e+00
3.672226322395560e-01	3.298943e+00
3.701523197395560e-01	3.298947e+00
3.730820072395560e-01	3.298951e+00
3.760116947395560e-01	3.298955e+00
3.789413822395560e-01	3.298959e+00
3.818710697395560e-01	3.298963e+00
3.848007572395560e-01	3.298967e+00
3.877304447395560e-01	3.298971e+00
3.906601322395560e-01	3.298975e+00
3.935898197395560e-01	3.298979e+00
3.965195072395560e-01	3.298983e+00
3.994491947395560e-01	3.298987e+00
4.023788822395560e-01	3.298991e+00
4.053085697395560e-01	3.298995e+00
4.082382572395560e-01	3.298999e+00
4.111679447395560e-01	3.299002e+00
4.140976322395560e-01	3.299006e+00
4.170273197395560e-01	3.299010e+00
4.199570072395560e-01	3.299014e+00
4.228866947395560e-01	3.299017e+00
4.258163822395560e-01	3.299021e+00
4.287460697395560e-01	3.299025e+00
4.316757572395560e-01	3.299028e+00
4.346054447395560e-01	3.299032e+00
4.375351322395560e-01	3.299035e+00
4.404648197395560e-01	3.299039e+00
4.433945072395560e-01	3.299042e+00
4.463241947395560e-01	3.299046e+00
4.492538822395560e-01	3.299049e+00
4.521835697395560e-01	3.299053e+00
4.551132572395560e-01	3.299056e+00
4.580429447395560e-01	3.299059e+00
4.609726322395560e-01	3.299063e+00
4.639023197395560e-01	3.299066e+00
4.668320072395560e-01	3.299069e+00
4.697616947395560e-01	3.299073e+00
4.726913822395560e-01	3.299076e+00
4.756210697395560e-01	3.299079e+00
4.785507572395560e-01	3.299083e+00
4.814804447395560e-01	3.299086e+00
4.844101322395560e-01	3.299089e+00
4.873398197395560e-01	3.299092e+00
4.902695072395560e-01	3.299095e+00
4.931991947395560e-01	3.299098e+00
4.961288822395560e-01	3.299101e+00
4.990585697395560e-01	3.299104e+00
5.019882572395560e-01	3.299107e+00
5.049179447395560e-01	3.299110e+00
5.078476322395560e-01	3.299113e+00
5.107773197395560e-01	3.299116e+00
5.137070072395560e-01	3.299119e+00
5.166366947395560e-01	3.299122e+00
5.195663822395560e-01	3.299125e+00
5.224960697395560e-01	3.299128e+00
5.254257572395560e-01	3.299131e+00
5.283554447395560e-01	3.299133e+00
5.312851322395560e-01	3.299136e+00
5.342148197395560e-01	3.299139e+00
5.371445072395560e-01	3.299142e+00
5.400741947395560e-01	3.299144e+00
5.430038822395560e-01	3.299147e+00
5.459335697395560e-01	3.299150e+00
5.488632572395560e-01	3.299152e+00
5.517929447395560e-01	3.299155e+00
5.547226322395560e-01	3.299157e+00
5.576523197395560e-01	3.299160e+00
5.605820072395560e-01	3.299163e+00
5.609482181770560e-01	3.299163e+00
5.616806400520560e-01	3.299164e+00
5.618637455208060e-01	3.299164e+00
5.622299564583060e-01	3.299143e+00
5.623215091926810e-01	3.299130e+00
5.625046146614310e-01	3.299100e+00
5.625503910286185e-01	3.299090e+00
5.626419437629935e-01	3.299069e+00
5.626648319465872e-01	3.299064e+00
5.626705539924857e-01	3.298396e+00
5.626707328064200e-01	3.298343e+00
5.626710904342886e-01	3.298235e+00
5.626711798412558e-01	3.298207e+00
5.626713586551901e-01	3.298152e+00
5.626714033586737e-01	3.298138e+00
5.626714927656409e-01	3.298110e+00
5.626715151173827e-01	3.298103e+00
5.626715598208663e-01	3.298089e+00
5.626716492278334e-01	3.295851e+00
5.626716715795752e-01	3.291489e+00
5.626717162830588e-01	3.280529e+00
5.626718056900260e-01	3.230887e+00
5.626718280417677e-01	3.206490e+00
5.626718727452513e-01	3.141389e+00
5.626719621522185e-01	2.813760e+00
5.626719644384037e-01	2.800841e+00
5.626719690107741e-01	2.774330e+00
5.626719781555150e-01	2.717001e+00
5.626719964449967e-01	2.582639e+00
5.626720010173670e-01	2.543602e+00
5.626720011602536e-01	2.542380e+00
5.626720014460268e-01	2.539932e+00
5.626720015174700e-01	2.539319e+00
5.626720016603566e-01	2.538091e+00
5.626720016960782e-01	2.537784e+00
5.626720017050086e-01	2.537707e+00
5.626720017228695e-01	2.537553e+00
5.626720017273347e-01	2.537515e+00
5.626720017284510e-01	2.537505e+00
5.626720017306835e-01	2.537486e+00
5.626720017351488e-01	2.537447e+00
5.626720017440792e-01	2.537370e+00
5.626720017619400e-01	2.537217e+00
5.626720017976616e-01	2.536909e+00
5.626720018691049e-01	2.536294e+00
5.626720020119915e-01	2.535061e+00
5.626720022977647e-01	2.532595e+00
5.626720028693110e-01	2.527689e+00
5.626720040124036e-01	2.518045e+00
5.626720062985888e-01	2.499484e+00
5.626720108709592e-01	2.464643e+00
5.626720200157000e-01	2.399277e+00
5.626720383051816e-01	2.272774e+00
5.626720748841449e-01	2.020720e+00
5.626721480420716e-01	1.516187e+00
5.626722943579247e-01	5.069039e-01
5.626723309368880e-01	2.544763e-01
5.626723400816287e-01	1.913712e-01
5.626723583711104e-01	6.516105e-02
5.626723629434808e-01	3.360826e-02
5.626723640865734e-01	2.572004e-02
5.626723663727586e-01	9.943563e-03
5.626723669443049e-01	5.999429e-03
5.626723670871915e-01	5.147996e-03
5.626723673729647e-01	4.767941e-03
5.626723678615424e-01	4.984642e-03
5.626723683761125e-01	4.818925e-03
5.626723693682867e-01	4.925809e-03
5.626723708854633e-01	4.798712e-03
5.626723734574768e-01	4.857022e-03
5.626723782704244e-01	4.695823e-03
5.626723876649755e-01	4.647582e-03
5.626724064540777e-01	4.287092e-03
5.626724440322820e-01	3.829749e-03
5.626725191886908e-01	3.803574e-03
5.626726695015083e-01	3.843233e-03
5.626729701271433e-01	3.717961e-03
5.626735713784135e-01	3.775852e-03
5.626741881807211e-01	3.685345e-03
5.626752765185083e-01	3.752693e-03
5.626771978525874e-01	3.643165e-03
5.626776781861071e-01	3.677749e-03
5.626786388531467e-01	3.664300e-03
5.626788790199065e-01	3.660934e-03
5.626793593534263e-01	3.654540e-03
5.626803200204659e-01	3.653045e-03
5.626817912558496e-01	3.654103e-03
5.626831773900951e-01	3.653283e-03
5.626852225577739e-01	3.653926e-03
5.626885978811841e-01	3.653358e-03
5.626944219991591e-01	3.653855e-03
5.627060702351089e-01	3.653335e-03
5.627293667070087e-01	3.653751e-03
5.627759596508083e-01	3.653156e-03
5.628691455384074e-01	3.653378e-03
5.630555173136057e-01	3.652416e-03
